wavs_converted/nep_6587_6276223627|बाइस जुलाई दुई हजार दसमा अ भेरि स्टारकिड एल्बम आइट्युन्स अमेजन डट कमको माध्यमबाट जारी भएको थियो|6587
wavs_converted/nep_0546_7857067919|तयारी किनेमालाई घाममा राम्ररी सुकाएर राखिन्छ आवश्यकता पर्दा झिकिन्छ कतै कोसेलीको रूपमा पनि पठाउन सकिन्छ|0546
wavs_converted/nep_2099_9755003560|पत्रिकाको सम्पादन कार्य विष्णुकुमारी लिम्बुद्वारा भएको|2099
wavs_converted/nep_3614_6283311594|विकिमिडिया श्रेणी पृष्ठ|3614
wavs_converted/nep_0258_7147057872|मनोरथ खडायतको जन्म सुदूरपश्चिम नेपालको डडेलधुरा जिल्लामा भएको हो|0258
wavs_converted/nep_0546_8955529673|जुँगे भट्टराईको जन्म सुदूरपश्चिम नेपालको बैतडी जिल्लामा भएको हो|0546
wavs_converted/nep_3614_9607653710|दुई हजार तेह्रको अन्तरिक्षउडान|3614
wavs_converted/nep_2099_7784524578|कालो ओत नेपालमा पाइने एक प्रकारको जनावर|2099
wavs_converted/nep_3960_4773568404|तानसेन तम्घास सडक एउटा पहाडी क्षेत्रमा निर्मित सडक हो|3960
wavs_converted/nep_3614_7909671087|सन् उन्नाइस सय सतासीमा दक्षिण कोरियाली विमानलाई खसाल्नको लागि उहाँले निर्देशन दिएको विश्वास गरिन्छ|3614
wavs_converted/nep_9407_5122519134|केरल राज्यको स्थापनापछि राज्यमा तेह्र पटक चुनाव भयो|9407
wavs_converted/nep_3614_1220382660|कालीझार नेपालमा पाइने एक किसिमको झार हो|3614
wavs_converted/nep_3960_4011634046|एक वर्षपछि लाजिम्पाटमा खोलिएको साइगन फोले राम्रो व्यापार गरेको उनी बताउँछन्|3960
wavs_converted/nep_0546_3193418396|पुमोरी पर्वत सगरमाथा देखि आठ किलोमिटर पश्चिममा आवस्थित छ|0546
wavs_converted/nep_3614_9658387634|भारतको पश्चिम बङ्गाल राज्यमा रहेको सहर|3614
wavs_converted/nep_2099_3210893690|पचरौता बारा जिल्लामा अवस्थित गाउँ विकास समिति|2099
wavs_converted/nep_0283_7151562621|क्रसओभर नेपालले आफ्नो साधारण सभा गत महिनाको पन्ध्र गते सम्पन्न गरेको छ|0283
wavs_converted/nep_3614_5484355485|हाइटेक सोलुसन्स र सर्भिसेजले कम्प्युटर सम्बन्धी धेरै समाधानहरू प्रदान गरेको छ|3614
wavs_converted/nep_0546_1091421919|देवराज भट्टको जन्म सुदूरपश्चिम नेपालको डोटी जिल्लामा भएको हो|0546
wavs_converted/nep_3614_8178153286|पञ्चकन्या शहीदस्मृति पार्क धनकुटा जिल्लामा अवस्थित एउटा स्मृति पार्क|3614
wavs_converted/nep_0283_3326495973|करिब तीस हजार मानिसहरू मारिए पचास हजार व्यक्ति गिरफ्तार भए हजारौँले कालापानीको सजाय पाए|0283
wavs_converted/nep_0546_5517187052|युटिसीको दस तीसको समय अफसेट सुचक|0546
wavs_converted/nep_7957_1107857989|तातो ठुलो ताराको प्रकार|7957
wavs_converted/nep_3614_1310749051|रकेटको बहु चरणीय भाग|3614
wavs_converted/nep_3614_6835888197|नोभा स्कोटिया क्यानडाको राजधानी|3614
wavs_converted/nep_2099_7453237360|यो जात्राको समापन स्थानीय बाल्मो गुठीका गुठियारहरूले परम्परागत नाच देखाउँछन्|2099
wavs_converted/nep_0546_8473061866|केरलका साहित्य भन्नाले सामान्यतः मलयालम साहित्य भन्ने बुझिन्छ|0546
wavs_converted/nep_6834_2611595302|लिथुआनिया लाटभिया र एस्टोनियामा भएका विभिन्न युद्धहरूमा धेरैको मृत्यु भयो|6834
wavs_converted/nep_3614_4053914263|स्लोभाकियाको कुटिकमा रहेको रेलवे स्टेसन|3614
wavs_converted/nep_3960_9372478390|देशी वक्ताको सङ्ख्याद्वारा भाषाको सूची|3960
wavs_converted/nep_3614_2614370260|संयुक्त राज्य अमेरिकाको टेक्सास लोकप्रिय सङ्गीतको एक शैली|3614
wavs_converted/nep_0546_8791936845|उन्नाइस सय त्रियानब्बेमा कोलम्बियाली फुटबल व्यावसायिकको पहिलो श्रेणी|0546
wavs_converted/nep_0883_8469107559|क्यानाडामा वार्षिक रूपमा धेरैमात्रामा काठ तथा वन्यजन्य उत्पादनहरू निर्यात गरिन्छन्|0883
wavs_converted/nep_2099_8994880722|परालको कारण पाल्तु जनावरको अभावले कुपोषण सर्वाधिक समस्या मानिसहरूको रोग निरोधक क्षमतामा कमी आयो|2099
wavs_converted/nep_3614_1973993918|यसलाई दक्षिणको गङ्गा पनि भनिन्छ|3614
wavs_converted/nep_2099_8366380846|आजा पनि टारकेरावारीको रातमाटे जङ्गलमा किराँतहरूको चिहान यद्दावधि पाइने दाबी स्थानीय श्रोतव्यक्ति दीर्धराज पौडेलको छ|2099
wavs_converted/nep_0546_6748563935|देवराज जोशी त्रिभुवन विश्वविद्यालयबाट शिक्षाशास्त्रमा स्नातक हुनुहुन्छ|0546
wavs_converted/nep_6834_4909857947|सन् दुई हजारको ग्रीष्मकालीन ओलम्पिकमा पलाउ|6834
wavs_converted/nep_9407_1387465127|सजाइएको खटलाई प्याङका घरआँगनसम्म पुर्‍याइन्छ|9407
wavs_converted/nep_6834_4749249410|नेप्च्युन ग्रहको चौध थाहभएका चन्द्रमाहरू|6834
wavs_converted/nep_7957_3423244460|कुनै वेबसाइटसँग सम्बन्धित प्रतिमा|7957
wavs_converted/nep_6587_8109134632|इनर्जी ट्रान्सफर इक्विटी एल पी ले ऊर्जा क्षेत्रमा उल्लेखनीय कार्य गरेको छ|6587
wavs_converted/nep_3614_2780007068|यो व्यवस्था रातो बङ्गला स्कुलमा लागु हुन्छ कि हुँदैन|3614
wavs_converted/nep_0546_2901086638|कालीबंगाबाट प्राप्त हल अंकित रेखाहरू प्राप्त भएका हुन् यो सिद्ध गर्दछ यहाँका मानव कृषक थिए|0546
wavs_converted/nep_0546_2785060463|कोमल निरौला पुराना गायक हुन्|0546
wavs_converted/nep_6834_9092559990|सूर्य बहादुर बलायर सहनशील तथा गहन गायक तथा कलाकार थिए|6834
wavs_converted/nep_0546_0685084826|बर्दिया राष्ट्रिय निकुन्ज पूर्वमा चेपाङ नदी पश्चिममा कर्णाली नदी उत्तरमा बबई नदी र दक्षिणमा पूर्व पश्चिममा महेन्द्र राजमार्गसँग जोडिएको छ|0546
wavs_converted/nep_3614_5297859826|इटालियन स्प्रिन्टर र राजनीतिज्ञ|3614
wavs_converted/nep_5687_4095594050|पोखराको फेवा ताल आसपासको क्षेत्रमा यो वनस्पति प्रशस्त मात्रामा पाइन्छ|5687
wavs_converted/nep_0546_8745630097|उत्तेस भोजनालयले यो बाटे हुँदै घुम्न आउने पर्यटकहरूलाई छिटो र मिठो खाना प्रदान गर्दै आएको छ|0546
wavs_converted/nep_7957_7043499849|दुई हजार दसको अमेरिकी कम्प्युटरले एनिमेटे गरेको तीन आयाम कमेडी फिल्म|7957
wavs_converted/nep_9407_3978206055|जयसवालले अट्ठाइस जनाले सात सय वर्ष भनी उल्लेख गरेका छन्|9407
wavs_converted/nep_3960_3857666255|अमेरिकी व्यापार प्रभावशाली र सेवक|3960
wavs_converted/nep_2099_3837561282|टर्की आधिकारीक नाम गणतन्त्र टर्की पश्चिम एसियामा अवस्थित एउटा युरेसियन राष्ट्र हो|2099
wavs_converted/nep_2099_7146853781|ट्रेग भीले दुई फेब्रुअरी उन्नाइस सय छयालिस देखि दस नोभेम्बर उन्नाइस सय बाउन्न सम्म संयुक्त राष्ट्र सङ्घका महासचिव थिए|2099
wavs_converted/nep_0546_2306998866|मध्यमपश्चिमाञ्चल क्षेत्रीय अस्पताल मध्यमपश्चिमाञ्चलको सुर्खेतमा अवस्थित छ|0546
wavs_converted/nep_6329_3391302567|पारानाको ब्राजिली राज्यमा रहेको राजधानी|6329
wavs_converted/nep_3960_3456749893|मेक्सिकन लेखक र राजनीतिज्ञ|3960
wavs_converted/nep_0546_7951389195|निर्माण समयावधिका आधारमा कुनै पुराना छन् कुनै नयाँ कठोर सिमेन्ट ढुङाको जमोट अवस्थामा छन्|0546
wavs_converted/nep_0546_5362686516|वर्डवाइड वेबमा सामग्रीहरूको प्रस्तुति र संरचनाको लागि प्रयोग गरिने मार्क अप भाषा|0546
wavs_converted/nep_0546_7016402255|गैँडाकोत र गैँडाकोट दुईवटा नामहरू उस्तै भएपनि पहिलो गुल्मी जिल्लामा पर्दछ र दोस्रो नवलपरासी जिल्लामा पर्दछ|0546
wavs_converted/nep_3960_5515490709|फ्लेमिस वा फ्रान्सेली ट्रउभर|3960
wavs_converted/nep_0546_8764721307|किराँतभित्र पनि कोयु कोयाङ कोइँच कोच कुकी कुलुङ किरावा आदि जातिहरू हुन्छ|0546
wavs_converted/nep_3614_7457468758|कालीगण्डकी नदी नेपालको दोस्रो ठुलो संसारको सबैभन्दा गहिरो गल्छी नदी हो|3614
wavs_converted/nep_3614_7222331929|जर्मनीको उत्तर राइनवेस्टफेलियाको जिल्लामा रहेको नगर|3614
wavs_converted/nep_3960_5925801907|बैङ्क अफ एसिया नेपाल लिमिटेडले नेपालको ग्रामीण विकासमा ठुलो लगानी गर्ने भएको छ|3960
wavs_converted/nep_9407_8609403285|उत्तराधिकारी उनबारेमा त्यति जानकारी बाहिर आएको छैन|9407
wavs_converted/nep_6587_0000343484|सिग्ना कर्पोरेसनका कामदारहरू निकै खुसी देखिन्छन्|6587
wavs_converted/nep_6834_3147741410|सन् सत्र सय छयहत्तरमा स्विडेनका राजा गुस्ताव तृतीयको आफ्नो देशका लागि स्वान रिभर उपनिवेश बनाउने आकाङ्क्षा|6834
wavs_converted/nep_2099_0135911099|प्लेग लसीका ग्रन्थी महामारीका प्रमुख प्रकोप फैलिएका थिए|2099
wavs_converted/nep_0546_3318714782|यहाँको स्‍थानीय रक्सी बाजरामा बन्दछ बाँसका भाँडामा पस्किइन्छ|0546
wavs_converted/nep_6329_1647655370|नन्दिता केसी नेपाली चलचित्र क्षेत्रको चर्चित अभिनेत्री हुन्|6329
wavs_converted/nep_0546_5697832733|क्यानाडेली बिहानी टेलिभिजन कार्यक्रम|0546
wavs_converted/nep_0546_4792017606|यो तेह्रौँ सताब्दी मा सत्ताइसौँ वर्ष|0546
wavs_converted/nep_9407_9206137835|त्यसपछि पानीमा उसिनिन्छ|9407
wavs_converted/nep_7957_2946235127|मार्क मिल्लरद्वारा लिखित हास्य पुस्तक सीमित श्रृंखला|7957
wavs_converted/nep_3960_3925988690|क्युबा को भिल्ला क्लारा प्रान्तमा रहेको सहर|3960
wavs_converted/nep_0883_4875482575|दुई हजार आठ अगस्टमा एक जापानी प्रकाशनले किम दुई हजार तीनमै मारिसकेको दाबी गर्‍यो|0883
wavs_converted/nep_2099_0650526524|विश्वमा प्रचलित धेरै नैतिक कथाहरूको आधार पञ्चतन्त्रका कथाहरू मानिएका छन्|2099
wavs_converted/nep_6834_8313324263|भेनिस फिल्म फेस्टिभलमा उनको नाम द स्टोरी अफ क्यु जुमा क्यु जुको मूल पात्रको अभिनयको सर्वोत्तम अभिनेत्रीका लागि मनोनयन भयो|6834
wavs_converted/nep_6834_1383541352|पुजा गुरुङ नेपाली चलचित्र क्षेत्रकी एक चर्चित मोडल तथा अभिनेत्री हुन्|6834
wavs_converted/nep_5687_5221520278|मङ्गल उच्च माध्यमिक विद्यालयले विगतको भन्दा निकै राम्रो प्रगति गरेको छ|5687
wavs_converted/nep_0546_6852778943|भुवन दहालको जन्म सुदूरपश्चिम नेपालको डोटी जिल्लामा भएको हो|0546
wavs_converted/nep_0283_5380400568|ज्ञानकुन्ज उच्च माध्यमिक विद्यालय र कलेजमा धेरै विद्यार्थीको भिड लाग्नाले आफ्नो क्षमता बढाउनु पर्ने भएको छ|0283
wavs_converted/nep_6329_6359073440|रेलवे स्टेसन लियोन फ्रान्स|6329
wavs_converted/nep_0546_1036808728|सन् उन्नाइस सय अठहत्तरमा किमले ओक उनकी पत्नी चोइहीलाई अपहरण गर्ने आदेश दिनु भएको|0546
wavs_converted/nep_0546_0371825078|भोज राज भट्टको जन्म सुदूरपश्चिम नेपालको डडेलधुरा जिल्लामा भएको हो|0546
wavs_converted/nep_6329_2602467992|भारतको रेलवेहरू युनेस्को विश्व सम्पदाको सूचि हो|6329
wavs_converted/nep_0546_2783338810|विकिमिडिया बहुविकल्पी पृष्ठ|0546
wavs_converted/nep_0546_8514789003|मेलम्ची खानेपानी आयोजनाको मुहानसँगै जोडिएको यस गाविस भौगोलिक रूपमा केही भिरालो डाँडाकाँडाले घेरिएको छ|0546
wavs_converted/nep_3960_3671840928|उन्नाइस सय चौरानब्बेमा कोलम्बियाली फुटबल व्यावसायिकको पहिलो श्रेणी|3960
wavs_converted/nep_6834_8455496039|टिआइएएसिआरइएफ एउटा राम्रो कम्पनी हो|6834
wavs_converted/nep_7957_4183289036|निष्क्रिय दुईटर्मिनल विद्युत घटक जसको चुम्बकीय क्षेत्रमा ऊर्जा सङ्ग्रह गर्दछ|7957
wavs_converted/nep_0546_7092737345|अमेरिकी व्यावसायिक बास्केटबल खेलाडी|0546
wavs_converted/nep_6329_7894055004|उन्नाइस सय सतासीमा कोलम्बियाली फुटबल व्यावसायिकको पहिलो श्रेणी|6329
wavs_converted/nep_3960_1505718167|अमेरिकी आवाज अभिनेता हास्य अभिनेता लेखक स्टोरीबोर्ड कलाकार एनिम बनाउने र निर्देशक|3960
wavs_converted/nep_0546_7837584211|चेक भलिबल खेलाडी|0546
wavs_converted/nep_9407_2263580908|यसलाई अङ्ग्रेजीमा हिल प्रिनिया भनिन्छ|9407
wavs_converted/nep_6587_4052905378|कोनोकोफिलिप्सले आफूले प्राप्त गर्ने सेयरमा बजारको पचास प्रतिशत ओगटेको छ|6587
wavs_converted/nep_5687_3296740400|त्रि वि शिक्षण अस्पतालबाट उत्पादन भएका जनशक्तिलाई देशभरि परिचालन गर्नुपर्नेमा यसो नभइ सबै सहरी क्षेत्रमै केन्द्रित भएका छन्|5687
wavs_converted/nep_0546_9860405955|शोक सुनार नेपाली गायन क्षेत्रमा ठुलो योगदान गरेका छन्|0546
wavs_converted/nep_0546_2580741211|पनौती जात्रामा भैरव भद्रकाली जात्रा हुन्छ|0546
wavs_converted/nep_2139_1602876041|धरान निकै रमणीय तथा विशाल सहर हो|2139
wavs_converted/nep_0546_2264069418|जर्मनीको कोलोनको सहर क्वाटर नम्बर पाँच सय सात|0546
wavs_converted/nep_0546_4654161400|फ्रान्सेली विभाग रोनमा रहेको नदी|0546
wavs_converted/nep_0546_4418224893|भुटानी शैलीमा बनेको एक धेरै सुन्दर मठ नेचर इन्टरप्रेटेसन सेन्टर केन्द्र छ|0546
wavs_converted/nep_6587_1496225299|नेसनल एसोसिएसन अफ होम बिल्डर्स एनएएचबी र वेल्स फार्गो हाउजिङमार्केन्ट|6587
wavs_converted/nep_9407_1014345868|यस जिल्लालाई कालीकोट पनि भनिन्थ्यो|9407
wavs_converted/nep_3960_3736501700|डिजिटल म्याक्स सलुसन्सले आफू आजको बजारमा प्रतिस्पर्धा गर्न तयार रहेको कुरा पत्रकार सम्मेलन मार्फत जनाएको छ|3960
wavs_converted/nep_9407_0158792615|तपाईँ यस खेलको पुरा आनन्‍द लिन चाहनुहुन्छ पुरा एक दिन दिनु पर्छ|9407
wavs_converted/nep_0546_4928555822|नेपाल इन्डस्ट्रियल एण्ड कमर्सियल बैङ्क लिमिटेडले नेपालको व्यावसायिक विकासमा ठुलो भूमिका खेलेको छ|0546
wavs_converted/nep_5687_6751360016|कञ्चनजङ्घा हिमाल नजिकबाट उत्पत्ति भएको तामोर नदी देशकै प्रथमस्तर नदीको रूपमा पर्न आँउछ|5687
wavs_converted/nep_3614_3857488810|नयाँ आविष्कारका क्षेत्रमा योङ इनोभेसन्सले पुर्‍याएको योगदानको सम्मान गर्न सक्नुपर्छ|3614
wavs_converted/nep_3614_5012169722|यो क्षेत्र खासगरी पोखरा उपत्यकामा अवस्थित छ|3614
wavs_converted/nep_0546_6724371003|यसरी चढाइने चिजबिजहरू मौसम अनुसार मकै काँक्रा आरुबखडा अम्बा नासपाती सुन्तला मेवा केरा लौका आदि हुन्छन्|0546
wavs_converted/nep_3614_8556776633|प्रारम्भिक स्पेक्ट्रल प्रकारको तारा|3614
wavs_converted/nep_3997_0495659858|ब्रोड शिखर वा के तीन पाकिस्तान र चीनको सिमानामा अवस्थित विश्वको बाह्रौँ अग्लो हिमाल हो|3997
wavs_converted/nep_0546_4868265038|हामी सधैँ आदर्श किराना पसलमा सामान किन्ने गर्दछौँ|0546
wavs_converted/nep_2099_4941967874|उहाँकै प्रयासमा उत्तर कोरियाको फिल्म कम्पनीले उत्तर कोरियाको इतिहासबारे एकसय भागको धारावाहिक श्रृंखला बनाएको|2099
wavs_converted/nep_3614_9155100703|टाइप सेटिङ् प्रणाली|3614
wavs_converted/nep_0546_9183385297|किरण केसी सबैले चिनेका हास्यकलाकार हुनुहुन्छ|0546
wavs_converted/nep_0283_7088220977|कुमारी बैङ्क लिमिटेडले नायब प्रमुख कार्मचारी अधिकृतमा राजिव गिरीलाई नियुक्त गरेको छ|0283
wavs_converted/nep_0546_2800364285|उनकी आमा इलकी सबैभन्दा मनपर्ने श्रीमती भएको बताइएको छ|0546
wavs_converted/nep_3997_4658258657|सानिमा बैङ्क लिमिटेड एउटा वित्तीय संस्था हो जसले छोटो समयमा धेरै प्रगति गरेको छ|3997
wavs_converted/nep_3960_0989899860|अमेरिकी व्यावसायिक पोकर खेलाडी|3960
wavs_converted/nep_5687_2569395956|जापानिज किचन कुजुनामा जापानी परिकारहरू स्वाद लिन धेरै ठाउँ बाट मानिसहरू आउने गर्दछन्|5687
wavs_converted/nep_3614_1109867901|बुधवार सुरु हुने अधिक वर्ष|3614
wavs_converted/nep_2099_2480341314|मध्यकालीन यहुदीसमुदायमाथि धेरै आक्रमण भए|2099
wavs_converted/nep_2099_4519299999|मेरो पीडित भाषाहरू कुनै ठाउँमा खस्रो रुष्ट गाली सुनिनेछन् कुनै ठाउँमा विरोध कुनै ठाउँमा पलायन|2099
wavs_converted/nep_0546_0360261388|ट्र्याक र फिल्ड दौड खेलाडी|0546
wavs_converted/nep_6329_9037997460|टर्कीको इस्ताम्बुलमा रहेको पुल|6329
wavs_converted/nep_0546_3432370397|निर्धारण गर्ने जसले सम्पत्तिको गुणद्वारा सङ्ख्या परिमार्जन गर्छन्|0546
wavs_converted/nep_7957_0177954418|नैतिकतावादी र ब्यङ्यात्मक कवि|7957
wavs_converted/nep_6834_3935169881|गैया रेस्टुरेन्ट र कफी सपले त्यस क्षेत्रका प्रचलित कफहरूको स्वाद आफ्ना ग्राहकहरूलाई प्रदान गर्दछ|6834
wavs_converted/nep_6834_2837931470|निर्मला पालीको जन्म सुदूरपश्चिम नेपालको डोटी जिल्लामा भएको हो|6834
wavs_converted/nep_2099_4436163003|वस्‍तुहरूको खरिदका लागि कालिङ्पोङ आर्ट राम्रो छ|2099
wavs_converted/nep_6834_7680945837|यसको आधार सिङ्गापुर स्थित बेलायती नौसैनिक अड्डा र रोयल नेभी हो|6834
wavs_converted/nep_9407_1238310521|यो क्षेत्र अत्यन्त कमजोर भूबनोटअन्तर्गत पर्दछ|9407
wavs_converted/nep_3614_7386600388|सोही दिन आफ्ना नातागोतालाई घरमा डाक्ने र खुवाउने परम्परा रहेको छ|3614
wavs_converted/nep_5687_0348705099|नवनिर्मित विपी राजमार्गबाट जाने हो भने दुई किलोमिटरभन्दा कम यात्रामा नै यो जिल्ला पुग्न सकिन्छ|5687
wavs_converted/nep_3960_2696344235|अमेरिकी लेखक निर्देशक र निर्माता|3960
wavs_converted/nep_0546_6924932351|प्रवीण गुरुङले गाएको यो दाजुको मिरमिरे आँखा लगायतका गीतहरू निकै चर्चित छन्|0546
wavs_converted/nep_2099_5218658859|कालो चुलेत्रो पहाडी भूभागमा पाइने बुट्यान वर्गमा पर्ने वनस्पति हो|2099
wavs_converted/nep_6834_9351558392|बिबिसी विज्ञानकल्पना हास्य ब्यङ्य नाटक टेलिभिजन कार्यक्रम|6834
wavs_converted/nep_2099_5556441385|उच्च माध्यमिक तहसम्म अध्ययन गरेका अट्तीस वर्षीय किरण गुरुङ समाजसेवामा विशेष रुचि राख्‍नुहुन्छ|2099
wavs_converted/nep_3614_9790791156|बाह्र बजेको घाम छालाका लागि हानिकारक हुन्छ|3614
wavs_converted/nep_6834_7575295537|मउन्नाइस सय उनान्सत्तरीमा बेइजिङ गएका बोसले चिनियाँ कम्युनिष्ट पार्टीबाट नौ बुँदे सुझाव नक्सलवादी आन्दोलनको इतिहासमा उल्लेखनीय छ|6834
wavs_converted/nep_6329_3179418267|रुसको गणतन्त्र रुसको सङ्घीय विषय|6329
